Date,type,rate
09/10/21,30 YR FRM,0.0294
09/09/21,30 YR FRM,0.0295
09/08/21,30 YR FRM,0.0296
09/07/21,30 YR FRM,0.0297
09/03/21,30 YR FRM,0.0295
09/02/21,30 YR FRM,0.0293
09/01/21,30 YR FRM,0.0292
08/31/21,30 YR FRM,0.0291
08/30/21,30 YR FRM,0.0291
08/27/21,30 YR FRM,0.0293
08/26/21,30 YR FRM,0.0298
08/25/21,30 YR FRM,0.0298
08/24/21,30 YR FRM,0.0293
08/23/21,30 YR FRM,0.0294
08/20/21,30 YR FRM,0.0293
08/19/21,30 YR FRM,0.0293
08/18/21,30 YR FRM,0.0296
08/17/21,30 YR FRM,0.0293
08/16/21,30 YR FRM,0.0293
08/13/21,30 YR FRM,0.0295
08/12/21,30 YR FRM,0.0296
09/10/21,15 YR FRM,0.0238
09/09/21,15 YR FRM,0.0238
09/08/21,15 YR FRM,0.0239
09/07/21,15 YR FRM,0.0241
09/03/21,15 YR FRM,0.0238
09/02/21,15 YR FRM,0.0238
09/01/21,15 YR FRM,0.0238
08/31/21,15 YR FRM,0.0237
08/30/21,15 YR FRM,0.0238
08/27/21,15 YR FRM,0.0239
08/26/21,15 YR FRM,0.0241
08/25/21,15 YR FRM,0.0242
08/24/21,15 YR FRM,0.0238
08/23/21,15 YR FRM,0.0238
08/20/21,15 YR FRM,0.0238
08/19/21,15 YR FRM,0.0238
08/18/21,15 YR FRM,0.0241
08/17/21,15 YR FRM,0.0238
08/16/21,15 YR FRM,0.0238
08/13/21,15 YR FRM,0.024
08/12/21,15 YR FRM,0.0241
09/10/21,5/1 YR ARM,0.0262
09/09/21,5/1 YR ARM,0.027
09/08/21,5/1 YR ARM,0.0275
09/07/21,5/1 YR ARM,0.0275
09/03/21,5/1 YR ARM,0.0273
09/02/21,5/1 YR ARM,0.0274
09/01/21,5/1 YR ARM,0.0275
08/31/21,5/1 YR ARM,0.0278
08/30/21,5/1 YR ARM,0.0279
08/27/21,5/1 YR ARM,0.0282
08/26/21,5/1 YR ARM,0.0281
08/25/21,5/1 YR ARM,0.0275
08/24/21,5/1 YR ARM,0.0262
08/23/21,5/1 YR ARM,0.0264
08/20/21,5/1 YR ARM,0.0252
08/19/21,5/1 YR ARM,0.0252
08/18/21,5/1 YR ARM,0.0254
08/17/21,5/1 YR ARM,0.025
08/16/21,5/1 YR ARM,0.025
08/13/21,5/1 YR ARM,0.025
08/12/21,5/1 YR ARM,0.025
09/10/21,FHA 30 YR,0.0262
09/09/21,FHA 30 YR,0.0262
09/08/21,FHA 30 YR,0.0263
09/07/21,FHA 30 YR,0.0265
09/03/21,FHA 30 YR,0.0262
09/02/21,FHA 30 YR,0.0262
09/01/21,FHA 30 YR,0.0262
08/31/21,FHA 30 YR,0.0262
08/30/21,FHA 30 YR,0.0262
08/27/21,FHA 30 YR,0.0265
08/26/21,FHA 30 YR,0.0275
08/25/21,FHA 30 YR,0.0275
08/24/21,FHA 30 YR,0.0268
08/23/21,FHA 30 YR,0.0267
08/20/21,FHA 30 YR,0.0266
08/19/21,FHA 30 YR,0.0265
08/18/21,FHA 30 YR,0.0268
08/17/21,FHA 30 YR,0.0265
08/16/21,FHA 30 YR,0.0265
08/13/21,FHA 30 YR,0.0268
08/12/21,FHA 30 YR,0.0269
09/10/21,JUMBO 30 YR,0.0306
09/09/21,JUMBO 30 YR,0.0307
09/08/21,JUMBO 30 YR,0.0309
09/07/21,JUMBO 30 YR,0.031
09/03/21,JUMBO 30 YR,0.0307
09/02/21,JUMBO 30 YR,0.0306
09/01/21,JUMBO 30 YR,0.0307
08/31/21,JUMBO 30 YR,0.0307
08/30/21,JUMBO 30 YR,0.0308
08/27/21,JUMBO 30 YR,0.031
08/26/21,JUMBO 30 YR,0.0313
08/25/21,JUMBO 30 YR,0.0315
08/24/21,JUMBO 30 YR,0.031
08/23/21,JUMBO 30 YR,0.031
08/20/21,JUMBO 30 YR,0.0311
08/19/21,JUMBO 30 YR,0.031
08/18/21,JUMBO 30 YR,0.0312
08/17/21,JUMBO 30 YR,0.031
08/16/21,JUMBO 30 YR,0.031
08/13/21,JUMBO 30 YR,0.0312
08/12/21,JUMBO 30 YR,0.0312
