Date,30 YR FRM,15 YR FRM,5/1 YR ARM,FHA 30 YR,JUMBO 30 YR
09/10/21,0.0294,0.0238,0.0262,0.0262,0.0306
09/09/21,0.0295,0.0238,0.027,0.0262,0.0307
09/08/21,0.0296,0.0239,0.0275,0.0263,0.0309
09/07/21,0.0297,0.0241,0.0275,0.0265,0.031
09/03/21,0.0295,0.0238,0.0273,0.0262,0.0307
09/02/21,0.0293,0.0238,0.0274,0.0262,0.0306
09/01/21,0.0292,0.0238,0.0275,0.0262,0.0307
08/31/21,0.0291,0.0237,0.0278,0.0262,0.0307
08/30/21,0.0291,0.0238,0.0279,0.0262,0.0308
08/27/21,0.0293,0.0239,0.0282,0.0265,0.031
08/26/21,0.0298,0.0241,0.0281,0.0275,0.0313
08/25/21,0.0298,0.0242,0.0275,0.0275,0.0315
08/24/21,0.0293,0.0238,0.0262,0.0268,0.031
08/23/21,0.0294,0.0238,0.0264,0.0267,0.031
08/20/21,0.0293,0.0238,0.0252,0.0266,0.0311
08/19/21,0.0293,0.0238,0.0252,0.0265,0.031
08/18/21,0.0296,0.0241,0.0254,0.0268,0.0312
08/17/21,0.0293,0.0238,0.025,0.0265,0.031
08/16/21,0.0293,0.0238,0.025,0.0265,0.031
08/13/21,0.0295,0.024,0.025,0.0268,0.0312
08/12/21,0.0296,0.0241,0.025,0.0269,0.0312
